anio,entidad,grupo_etario,sexo,ansiedad,demencia,depresion,total,trastorno_bipolar,trastorno_discapacidad_intelectual,trastorno_estres_postraumatico,trastorno_espectro_autista,deficit_atencion_hiperactividad,trastorno_psicotico,trastorno_conducta_infancia_adolescencia,entidad_etq
2024,GUANAJUATO,30 A 49 A«?OS,MUJERES,5585,6,2693,8789,217,58,119,0,0,111,0,Guanajuato
2024,GUANAJUATO,5 A 9 A«?OS,HOMBRES,583,0,126,2162,1,142,19,302,493,21,475,Guanajuato
2024,GUANAJUATO,5 A 9 A«?OS,MUJERES,547,0,83,1205,2,94,23,48,115,7,286,Guanajuato
2024,GUANAJUATO,50 A 59 A«?OS,HOMBRES,509,9,234,884,65,11,14,1,0,41,0,Guanajuato
2024,GUANAJUATO,50 A 59 A«?OS,MUJERES,1839,5,1131,3179,95,15,45,0,0,49,0,Guanajuato
2024,GUANAJUATO,60 A«?OS Y M«ÅS,HOMBRES,467,51,291,888,41,4,6,0,0,28,0,Guanajuato
2024,GUANAJUATO,60 A«?OS Y M«ÅS,MUJERES,1325,76,1091,2612,47,7,27,1,0,38,0,Guanajuato
2024,GUERRERO,10 A 14 A«?OS,HOMBRES,500,0,159,1232,10,20,25,36,69,8,405,Guerrero
2024,GUERRERO,10 A 14 A«?OS,MUJERES,954,0,383,1787,4,16,49,5,35,8,333,Guerrero
2024,GUERRERO,15 A 19 A«?OS,HOMBRES,239,0,187,640,5,24,30,13,7,15,120,Guerrero
2024,GUERRERO,15 A 19 A«?OS,MUJERES,783,0,747,1908,18,15,61,4,115,9,156,Guerrero
2024,GUERRERO,20 A 29 A«?OS,HOMBRES,789,0,193,1207,15,28,33,11,1,137,0,Guerrero
2024,GUERRERO,20 A 29 A«?OS,MUJERES,2805,0,1187,4292,28,39,169,1,2,61,0,Guerrero
2024,GUERRERO,30 A 49 A«?OS,HOMBRES,1257,4,283,2047,45,32,42,5,0,379,0,Guerrero
2024,GUERRERO,30 A 49 A«?OS,MUJERES,3820,0,1350,5784,124,63,173,4,0,250,0,Guerrero
2024,GUERRERO,5 A 9 A«?OS,HOMBRES,248,0,60,1061,2,18,21,89,158,5,460,Guerrero
2024,GUERRERO,5 A 9 A«?OS,MUJERES,294,0,65,692,0,11,19,22,46,3,232,Guerrero
2024,GUERRERO,50 A 59 A«?OS,HOMBRES,462,4,131,759,23,3,9,1,0,126,0,Guerrero
2024,GUERRERO,50 A 59 A«?OS,MUJERES,1090,3,473,1779,47,10,46,1,0,109,0,Guerrero
2024,GUERRERO,60 A«?OS Y M«ÅS,HOMBRES,486,22,241,826,5,5,15,0,1,51,0,Guerrero
2024,GUERRERO,60 A«?OS Y M«ÅS,MUJERES,961,48,629,1750,35,4,21,0,0,52,0,Guerrero
